,Energy AdaFT,Energy AdaFT DVFS,Energy All On,Energy DVFS,MTTF AdaFT,MTTF AdaFT DVFS,MTTF All On,MTTF DVFS,Number of Processors,QoC Constraint,Version 1 Execution Time,Version 1 Power,Version 1 WCET,Version 2 Execution Time,Version 2 Power,Version 2 WCET
0,7.388499999999476,5.7484999999998045,8.467499999999639,5.888999999999804,8.936275433618372,9.189883723196827,8.794493867432926,9.16935432880714,3,0.15,0.004,10,0.008,0.001,6.0,0.002
1,6.172999999999706,4.931499999999983,6.9599999999995665,5.035499999999965,9.107134244183714,9.3019489145383,9.00068217510535,9.286631865605928,4,0.15,0.004,10,0.008,0.001,6.0,0.002
2,5.4394999999998745,4.453000000000128,6.0674999999997405,4.529000000000103,9.207913108463256,9.367807248350061,9.123050509159341,9.35554203140835,5,0.15,0.004,10,0.008,0.001,6.0,0.002
3,4.939500000000013,4.1295000000002435,5.499999999999859,4.194500000000217,9.277060455841607,9.41057483111228,9.202538654724606,9.399936571467233,6,0.15,0.004,10,0.008,0.001,6.0,0.002
4,4.6045000000001135,3.8945000000002845,5.054999999999972,3.9475000000002867,9.328157422470282,9.44391309560472,9.265538649344165,9.435107692951732,7,0.15,0.004,10,0.008,0.001,6.0,0.002
5,4.335500000000212,3.7190000000002628,4.730000000000068,3.7740000000002674,9.364723497237367,9.46780349264379,9.310586358651511,9.460090932360956,8,0.15,0.004,10,0.008,0.001,6.0,0.002
6,4.1370000000002864,3.58400000000024,4.505000000000147,3.638000000000247,9.393931562891684,9.485511433097054,9.343611563358587,9.478333108318703,9,0.15,0.004,10,0.008,0.001,6.0,0.002
7,3.972500000000344,3.4765000000002257,4.30000000000022,3.5200000000002323,9.41697404752766,9.501453578883877,9.374199520111697,9.495285166319244,10,0.15,0.004,10,0.008,0.001,6.0,0.002
8,3.8385000000003213,3.3915000000002102,4.145000000000282,3.4215000000002163,9.43709436722876,9.513682160566898,9.397366752633335,9.508070800200784,11,0.15,0.004,10,0.008,0.001,6.0,0.002
9,3.7250000000003003,3.3145000000001987,3.9925000000003363,3.3535000000002047,9.452470389398055,9.523171937847597,9.415109946429224,9.517815468577947,12,0.15,0.004,10,0.008,0.001,6.0,0.002
10,3.6445000000002867,3.2520000000001854,3.8725000000003202,3.2855000000001953,9.466377413885114,9.5325973249655,9.433327655535374,9.52786943778592,13,0.15,0.004,10,0.008,0.001,6.0,0.002
11,3.564000000000273,3.199000000000177,3.7700000000003007,3.2355000000001852,9.478674160563635,9.539999056702879,9.447397515715094,9.535609965160262,14,0.15,0.004,10,0.008,0.001,6.0,0.002
12,3.4810000000002512,3.154500000000167,3.7000000000002924,3.1800000000001747,9.488361094154623,9.545882719931539,9.45831535717238,9.54159418398532,15,0.15,0.004,10,0.008,0.001,6.0,0.002
13,3.433000000000243,3.112500000000161,3.615000000000275,3.137000000000165,9.497319240851656,9.55212786074504,9.47045236191662,9.54828655141268,16,0.15,0.004,10,0.008,0.001,6.0,0.002
14,3.3805000000002323,3.0760000000001515,3.5475000000002637,3.094000000000157,9.504800261965974,9.557079197691891,9.479933953431855,9.55347423457267,17,0.15,0.004,10,0.008,0.001,6.0,0.002
15,3.3165000000002203,3.0460000000001446,3.4950000000002523,3.069000000000152,9.51228617930592,9.561029666151565,9.48723267495597,9.557472979147391,18,0.15,0.004,10,0.008,0.001,6.0,0.002
16,3.294500000000216,3.0160000000001377,3.442500000000245,3.044000000000147,9.518590152041062,9.565511240105113,9.496008684715882,9.562291537006018,19,0.15,0.004,10,0.008,0.001,6.0,0.002
17,3.239000000000199,2.990500000000132,3.3925000000002323,3.0135000000001395,9.523885154480878,9.569033427679969,9.502752751676317,9.565991310130896,20,0.15,0.004,10,0.008,0.001,6.0,0.002
